parameter,location,species,year,datavalue
Total exploitation rate,Dean River,Chinook,2017,0.17370892
Total exploitation rate,Docee,Chinook,1980,0.276541993
Total exploitation rate,Docee,Chinook,1981,0.231249785
Total exploitation rate,Docee,Chinook,1982,0.308749082
Total exploitation rate,Docee,Chinook,1983,0.295545984
Total exploitation rate,Docee,Chinook,1984,0.243972742
Total exploitation rate,Docee,Chinook,1985,0.588233843
Total exploitation rate,Docee,Chinook,1986,0.459944449
Total exploitation rate,Docee,Chinook,1987,0.2985784
Total exploitation rate,Docee,Chinook,1988,0.239489305
Total exploitation rate,Docee,Chinook,1989,0.320133352
Total exploitation rate,Docee,Chinook,1990,0.27229564
Total exploitation rate,Docee,Chinook,1991,0.321557414
Total exploitation rate,Docee,Chinook,1992,0.37971495
Total exploitation rate,Docee,Chinook,1993,0.227366979
Total exploitation rate,Docee,Chinook,1994,0.173253315
Total exploitation rate,Docee,Chinook,1995,0.108451719
Total exploitation rate,Docee,Chinook,1996,0.110241474
Total exploitation rate,Docee,Chinook,1997,0.229265383
Total exploitation rate,Docee,Chinook,1998,0.126743208
Total exploitation rate,Docee,Chinook,1999,0.179719716
Total exploitation rate,Docee,Chinook,2000,0.153519353
Total exploitation rate,Docee,Chinook,2001,0.196626954
Total exploitation rate,Docee,Chinook,2002,0.187195324
Total exploitation rate,Docee,Chinook,2003,0.160943897
Total exploitation rate,Docee,Chinook,2004,0.256832894
Total exploitation rate,Docee,Chinook,2005,0.233007424
Total exploitation rate,Docee,Chinook,2006,0.231202811
Total exploitation rate,Docee,Chinook,2007,0.166589948
Total exploitation rate,Docee,Chinook,2008,0.12164224
Total exploitation rate,Docee,Chinook,2011,0.37296504
Total exploitation rate,North & Central Coast-Early,Chinook,1985,0.203477605
Total exploitation rate,North & Central Coast-Early,Chinook,1986,0.203477605
Total exploitation rate,North & Central Coast-Early,Chinook,1987,0.203477605
Total exploitation rate,North & Central Coast-Early,Chinook,1988,0.203477605
Total exploitation rate,North & Central Coast-Early,Chinook,1989,0.203477605
Total exploitation rate,North & Central Coast-Early,Chinook,1990,0.333333333
Total exploitation rate,North & Central Coast-Early,Chinook,1991,0.130829016
Total exploitation rate,North & Central Coast-Early,Chinook,1992,0.197556008
Total exploitation rate,North & Central Coast-Early,Chinook,1993,0.209285188
Total exploitation rate,North & Central Coast-Early,Chinook,1994,0.14638448
Total exploitation rate,North & Central Coast-Early,Chinook,1995,0.109782144
Total exploitation rate,North & Central Coast-Early,Chinook,1996,0.051531356
Total exploitation rate,North & Central Coast-Early,Chinook,1997,0.113772455
Total exploitation rate,North & Central Coast-Early,Chinook,1998,0.140433553
Total exploitation rate,North & Central Coast-Early,Chinook,1999,0.126038781
Total exploitation rate,North & Central Coast-Early,Chinook,2000,0.100478469
Total exploitation rate,North & Central Coast-Early,Chinook,2001,0.119117647
Total exploitation rate,North & Central Coast-Early,Chinook,2002,0.197580645
Total exploitation rate,North & Central Coast-Early,Chinook,2003,0.236220472
Total exploitation rate,North & Central Coast-Early,Chinook,2004,0.212298682
Total exploitation rate,North & Central Coast-Early,Chinook,2005,0.320815451
Total exploitation rate,North & Central Coast-Early,Chinook,2006,0.194659171
Total exploitation rate,North & Central Coast-Early,Chinook,2007,0.215686275
Total exploitation rate,North & Central Coast-Early,Chinook,2008,0.116883117
Total exploitation rate,North & Central Coast-Early,Chinook,2009,0.17810219
Total exploitation rate,North & Central Coast-Early,Chinook,2010,0.232643118
Total exploitation rate,North & Central Coast-Early,Chinook,2011,0.312280702
Total exploitation rate,North & Central Coast-Early,Chinook,2012,0.198366394
Total exploitation rate,North & Central Coast-Early,Chinook,2013,0.084333333
Total exploitation rate,North & Central Coast-Early,Chinook,2014,0.149098686
Total exploitation rate,North & Central Coast-Early,Chinook,2015,0.193502658
Total exploitation rate,North & Central Coast-Early,Chinook,2016,0.17370892
Total exploitation rate,North & Central Coast-Early,Chinook,2017,0.17370892
Total exploitation rate,North & Central Coast-Late,Chinook,1985,0.203477605
Total exploitation rate,North & Central Coast-Late,Chinook,1986,0.203477605
Total exploitation rate,North & Central Coast-Late,Chinook,1987,0.203477605
Total exploitation rate,North & Central Coast-Late,Chinook,1988,0.203477605
Total exploitation rate,North & Central Coast-Late,Chinook,1989,0.203477605
Total exploitation rate,North & Central Coast-Late,Chinook,1990,0.333333333
Total exploitation rate,North & Central Coast-Late,Chinook,1991,0.130829016
Total exploitation rate,North & Central Coast-Late,Chinook,1992,0.197556008
Total exploitation rate,North & Central Coast-Late,Chinook,1993,0.209285188
Total exploitation rate,North & Central Coast-Late,Chinook,1999,0.126038781
Total exploitation rate,North & Central Coast-Late,Chinook,2000,0.100478469
Total exploitation rate,North & Central Coast-Late,Chinook,2002,0.197580645
Total exploitation rate,North & Central Coast-Late,Chinook,2003,0.236220472
Total exploitation rate,North & Central Coast-Late,Chinook,2004,0.212298682
Total exploitation rate,North & Central Coast-Late,Chinook,2005,0.320815451
Total exploitation rate,North & Central Coast-Late,Chinook,2006,0.194659171
Total exploitation rate,North & Central Coast-Late,Chinook,2008,0.116883117
Total exploitation rate,North & Central Coast-Late,Chinook,2009,0.17810219
Total exploitation rate,North & Central Coast-Late,Chinook,2010,0.232643118
Total exploitation rate,North & Central Coast-Late,Chinook,2012,0.198366394
Total exploitation rate,North & Central Coast-Late,Chinook,2013,0.084333333
Total exploitation rate,North & Central Coast-Late,Chinook,2015,0.193502658
Total exploitation rate,North & Central Coast-Late,Chinook,2017,0.17370892
Total exploitation rate,Rivers Inlet,Chinook,1980,0.299843306
Total exploitation rate,Rivers Inlet,Chinook,1981,0.242492719
Total exploitation rate,Rivers Inlet,Chinook,1982,0.313369846
Total exploitation rate,Rivers Inlet,Chinook,1983,0.264837941
Total exploitation rate,Rivers Inlet,Chinook,1984,0.284640518
Total exploitation rate,Rivers Inlet,Chinook,1985,0.260576347
Total exploitation rate,Rivers Inlet,Chinook,1986,0.324504045
Total exploitation rate,Rivers Inlet,Chinook,1987,0.288684488
Total exploitation rate,Rivers Inlet,Chinook,1988,0.276487041
Total exploitation rate,Rivers Inlet,Chinook,1989,0.255739685
Total exploitation rate,Rivers Inlet,Chinook,1990,0.27450989
Total exploitation rate,Rivers Inlet,Chinook,1991,0.317555326
Total exploitation rate,Rivers Inlet,Chinook,1992,0.259836218
Total exploitation rate,Rivers Inlet,Chinook,1993,0.274728634
Total exploitation rate,Rivers Inlet,Chinook,1994,0.219503181
Total exploitation rate,Rivers Inlet,Chinook,1995,0.137719259
Total exploitation rate,Rivers Inlet,Chinook,1996,0.150375617
Total exploitation rate,Rivers Inlet,Chinook,1997,0.299007012
Total exploitation rate,Rivers Inlet,Chinook,1998,0.21106107
Total exploitation rate,Rivers Inlet,Chinook,1999,0.263830292
Total exploitation rate,Rivers Inlet,Chinook,2000,0.225936885
Total exploitation rate,Rivers Inlet,Chinook,2001,0.287830903
Total exploitation rate,Rivers Inlet,Chinook,2002,0.274665552
Total exploitation rate,Rivers Inlet,Chinook,2003,0.252006357
Total exploitation rate,Rivers Inlet,Chinook,2004,0.351832639
Total exploitation rate,Rivers Inlet,Chinook,2005,0.328806107
Total exploitation rate,Rivers Inlet,Chinook,2006,0.334183025
Total exploitation rate,Rivers Inlet,Chinook,2007,0.246651956
Total exploitation rate,Rivers Inlet,Chinook,2008,0.202310896
Total exploitation rate,Rivers Inlet,Chinook,2009,0.243978388
Total exploitation rate,Rivers Inlet,Chinook,2010,0.319686823
Total exploitation rate,Rivers Inlet,Chinook,2011,0.484709773
Total exploitation rate,Rivers Inlet,Chinook,2012,0.273145042
Total exploitation rate,Rivers Inlet,Chinook,2013,0.328176821
Total exploitation rate,Rivers Inlet,Chinook,2014,0.49084522
Total exploitation rate,Rivers Inlet,Chinook,2015,0.596636467
Total exploitation rate,Rivers Inlet,Chinook,2016,0.475888066
Total exploitation rate,Rivers Inlet,Chinook,2017,0.372502882
Total exploitation rate,Wannock,Chinook,1980,0.299843306
Total exploitation rate,Wannock,Chinook,1981,0.242492719
Total exploitation rate,Wannock,Chinook,1982,0.313369846
Total exploitation rate,Wannock,Chinook,1983,0.264837941
Total exploitation rate,Wannock,Chinook,1984,0.284640518
Total exploitation rate,Wannock,Chinook,1985,0.260576347
Total exploitation rate,Wannock,Chinook,1986,0.324504045
Total exploitation rate,Wannock,Chinook,1987,0.288684488
Total exploitation rate,Wannock,Chinook,1988,0.276487041
Total exploitation rate,Wannock,Chinook,1989,0.255739685
Total exploitation rate,Wannock,Chinook,1990,0.27450989
Total exploitation rate,Wannock,Chinook,1991,0.317555326
Total exploitation rate,Wannock,Chinook,1992,0.259836218
Total exploitation rate,Wannock,Chinook,1993,0.274728634
Total exploitation rate,Wannock,Chinook,1994,0.219503181
Total exploitation rate,Wannock,Chinook,1995,0.137719259
Total exploitation rate,Wannock,Chinook,1996,0.150375617
Total exploitation rate,Wannock,Chinook,1997,0.299007012
Total exploitation rate,Wannock,Chinook,1998,0.21106107
Total exploitation rate,Wannock,Chinook,1999,0.263830292
Total exploitation rate,Wannock,Chinook,2000,0.225936885
Total exploitation rate,Wannock,Chinook,2001,0.287830903
Total exploitation rate,Wannock,Chinook,2002,0.274665552
Total exploitation rate,Wannock,Chinook,2003,0.252006357
Total exploitation rate,Wannock,Chinook,2004,0.351832639
Total exploitation rate,Wannock,Chinook,2005,0.328806107
Total exploitation rate,Wannock,Chinook,2006,0.334183025
Total exploitation rate,Wannock,Chinook,2007,0.246651956
Total exploitation rate,Wannock,Chinook,2008,0.202310896
Total exploitation rate,Wannock,Chinook,2009,0.243978388
Total exploitation rate,Wannock,Chinook,2010,0.319686823
Total exploitation rate,Wannock,Chinook,2011,0.484709773
Total exploitation rate,Wannock,Chinook,2012,0.273145042
Total exploitation rate,Wannock,Chinook,2013,0.328176821
Total exploitation rate,Wannock,Chinook,2014,0.49084522
Total exploitation rate,Wannock,Chinook,2015,0.596636467
Total exploitation rate,Wannock,Chinook,2016,0.475888066
Total exploitation rate,Wannock,Chinook,2017,0.372502882
Total exploitation rate,Bella Coola-Dean Rivers,Chum,1954,0.365415494
Total exploitation rate,Bella Coola-Dean Rivers,Chum,1955,0.567981672
Total exploitation rate,Bella Coola-Dean Rivers,Chum,1956,0.401102875
Total exploitation rate,Bella Coola-Dean Rivers,Chum,1957,0.566355509
Total exploitation rate,Bella Coola-Dean Rivers,Chum,1958,0.462458513
Total exploitation rate,Bella Coola-Dean Rivers,Chum,1959,0.333877085
Total exploitation rate,Bella Coola-Dean Rivers,Chum,1960,0.459199342
Total exploitation rate,Bella Coola-Dean Rivers,Chum,1961,0.501493928
Total exploitation rate,Bella Coola-Dean Rivers,Chum,1962,0.609266148
Total exploitation rate,Bella Coola-Dean Rivers,Chum,1963,0.42125777
Total exploitation rate,Bella Coola-Dean Rivers,Chum,1964,0.479648012
Total exploitation rate,Bella Coola-Dean Rivers,Chum,1965,0.668018981
Total exploitation rate,Bella Coola-Dean Rivers,Chum,1966,0.456399666
Total exploitation rate,Bella Coola-Dean Rivers,Chum,1967,0.375287315
Total exploitation rate,Bella Coola-Dean Rivers,Chum,1968,0.374746688
Total exploitation rate,Bella Coola-Dean Rivers,Chum,1969,0.38896536
Total exploitation rate,Bella Coola-Dean Rivers,Chum,1970,0.449025983
Total exploitation rate,Bella Coola-Dean Rivers,Chum,1971,0.317540899
Total exploitation rate,Bella Coola-Dean Rivers,Chum,1972,0.364396047
Total exploitation rate,Bella Coola-Dean Rivers,Chum,1973,0.336246711
Total exploitation rate,Bella Coola-Dean Rivers,Chum,1974,0.440125142
Total exploitation rate,Bella Coola-Dean Rivers,Chum,1975,0.473004877
Total exploitation rate,Bella Coola-Dean Rivers,Chum,1976,0.590008844
Total exploitation rate,Bella Coola-Dean Rivers,Chum,1977,0.262795369
Total exploitation rate,Bella Coola-Dean Rivers,Chum,1978,0.706006568
Total exploitation rate,Bella Coola-Dean Rivers,Chum,1979,0.548611651
Total exploitation rate,Bella Coola-Dean Rivers,Chum,1980,0.62077064
Total exploitation rate,Bella Coola-Dean Rivers,Chum,1981,0.68975694
Total exploitation rate,Bella Coola-Dean Rivers,Chum,1982,0.484083594
Total exploitation rate,Bella Coola-Dean Rivers,Chum,1983,0.55408077
Total exploitation rate,Bella Coola-Dean Rivers,Chum,1984,0.24846299
Total exploitation rate,Bella Coola-Dean Rivers,Chum,1985,0.580995624
Total exploitation rate,Bella Coola-Dean Rivers,Chum,1986,0.756105969
Total exploitation rate,Bella Coola-Dean Rivers,Chum,1987,0.68012128
Total exploitation rate,Bella Coola-Dean Rivers,Chum,1988,0.700788918
Total exploitation rate,Bella Coola-Dean Rivers,Chum,1989,0.519456297
Total exploitation rate,Bella Coola-Dean Rivers,Chum,1990,0.575976643
Total exploitation rate,Bella Coola-Dean Rivers,Chum,1991,0.610265596
Total exploitation rate,Bella Coola-Dean Rivers,Chum,1992,0.440518161
Total exploitation rate,Bella Coola-Dean Rivers,Chum,1993,0.443008144
Total exploitation rate,Bella Coola-Dean Rivers,Chum,1994,0.540563457
Total exploitation rate,Bella Coola-Dean Rivers,Chum,1995,0.656167684
Total exploitation rate,Bella Coola-Dean Rivers,Chum,1996,0.413703066
Total exploitation rate,Bella Coola-Dean Rivers,Chum,1997,0.406892172
Total exploitation rate,Bella Coola-Dean Rivers,Chum,1998,0.525976402
Total exploitation rate,Bella Coola-Dean Rivers,Chum,1999,0.354903111
Total exploitation rate,Bella Coola-Dean Rivers,Chum,2000,0.135549345
Total exploitation rate,Bella Coola-Dean Rivers,Chum,2001,0.477956946
Total exploitation rate,Bella Coola-Dean Rivers,Chum,2002,0.476191993
Total exploitation rate,Bella Coola-Dean Rivers,Chum,2003,0.48595219
Total exploitation rate,Bella Coola-Dean Rivers,Chum,2004,0.616735506
Total exploitation rate,Bella Coola-Dean Rivers,Chum,2005,0.496204207
Total exploitation rate,Bella Coola-Dean Rivers,Chum,2006,0.517424782
Total exploitation rate,Bella Coola-Dean Rivers,Chum,2007,0.476858506
Total exploitation rate,Bella Coola-Dean Rivers,Chum,2008,0.090736408
Total exploitation rate,Bella Coola-Dean Rivers,Chum,2009,0.250813815
Total exploitation rate,Bella Coola-Dean Rivers,Chum,2010,0.06625517
Total exploitation rate,Bella Coola-Dean Rivers,Chum,2011,0.076225537
Total exploitation rate,Bella Coola-Dean Rivers,Chum,2012,0.401320144
Total exploitation rate,Bella Coola-Dean Rivers,Chum,2013,0.488480556
Total exploitation rate,Bella Coola-Dean Rivers,Chum,2014,0.238432314
Total exploitation rate,Bella Coola-Dean Rivers,Chum,2015,0.513827964
Total exploitation rate,Bella Coola-Dean Rivers,Chum,2016,0.441154857
Total exploitation rate,Bella Coola-Dean Rivers,Chum,2017,0.40642248
Total exploitation rate,Bella Coola River-Late,Chum,2003,0.48595219
Total exploitation rate,Bella Coola River-Late,Chum,2004,0.616735506
Total exploitation rate,Bella Coola River-Late,Chum,2005,0.496204207
Total exploitation rate,Bella Coola River-Late,Chum,2006,0.517424782
Total exploitation rate,Bella Coola River-Late,Chum,2007,0.476858506
Total exploitation rate,Bella Coola River-Late,Chum,2008,0.090736408
Total exploitation rate,Bella Coola River-Late,Chum,2009,0.250813815
Total exploitation rate,Bella Coola River-Late,Chum,2010,0.06625517
Total exploitation rate,Bella Coola River-Late,Chum,2011,0.076225537
Total exploitation rate,Bella Coola River-Late,Chum,2012,0.401320144
Total exploitation rate,Bella Coola River-Late,Chum,2013,0.488480556
Total exploitation rate,Bella Coola River-Late,Chum,2014,0.238432314
Total exploitation rate,Bella Coola River-Late,Chum,2015,0.513827964
Total exploitation rate,Bella Coola River-Late,Chum,2016,0.441154857
Total exploitation rate,Bella Coola River-Late,Chum,2017,0.40642248
Total exploitation rate,Douglas-Gardner,Chum,1954,0.531149378
Total exploitation rate,Douglas-Gardner,Chum,1955,0.288922792
Total exploitation rate,Douglas-Gardner,Chum,1956,0.566924559
Total exploitation rate,Douglas-Gardner,Chum,1957,0.514545093
Total exploitation rate,Douglas-Gardner,Chum,1958,0.530672138
Total exploitation rate,Douglas-Gardner,Chum,1959,0.419317065
Total exploitation rate,Douglas-Gardner,Chum,1960,0.366723037
Total exploitation rate,Douglas-Gardner,Chum,1961,0.514240248
Total exploitation rate,Douglas-Gardner,Chum,1962,0.365560307
Total exploitation rate,Douglas-Gardner,Chum,1963,0.424856099
Total exploitation rate,Douglas-Gardner,Chum,1964,0.365516373
Total exploitation rate,Douglas-Gardner,Chum,1965,0.468869522
Total exploitation rate,Douglas-Gardner,Chum,1966,0.317340688
Total exploitation rate,Douglas-Gardner,Chum,1967,0.13890834
Total exploitation rate,Douglas-Gardner,Chum,1968,0.312283806
Total exploitation rate,Douglas-Gardner,Chum,1969,0.369566422
Total exploitation rate,Douglas-Gardner,Chum,1970,0.681885023
Total exploitation rate,Douglas-Gardner,Chum,1971,0.379324763
Total exploitation rate,Douglas-Gardner,Chum,1972,0.547227255
Total exploitation rate,Douglas-Gardner,Chum,1973,0.266793459
Total exploitation rate,Douglas-Gardner,Chum,1974,0.313802089
Total exploitation rate,Douglas-Gardner,Chum,1975,0.109711764
Total exploitation rate,Douglas-Gardner,Chum,1976,0.117359262
Total exploitation rate,Douglas-Gardner,Chum,1977,0.310606779
Total exploitation rate,Douglas-Gardner,Chum,1978,0.400159157
Total exploitation rate,Douglas-Gardner,Chum,1979,0.405816878
Total exploitation rate,Douglas-Gardner,Chum,1980,0.586328746
Total exploitation rate,Douglas-Gardner,Chum,1981,0.425785411
Total exploitation rate,Douglas-Gardner,Chum,1982,0.401400484
Total exploitation rate,Douglas-Gardner,Chum,1983,0.543132136
Total exploitation rate,Douglas-Gardner,Chum,1984,0.155361274
Total exploitation rate,Douglas-Gardner,Chum,1985,0.321103788
Total exploitation rate,Douglas-Gardner,Chum,1986,0.316248261
Total exploitation rate,Douglas-Gardner,Chum,1987,0.399608872
Total exploitation rate,Douglas-Gardner,Chum,1988,0.52992224
Total exploitation rate,Douglas-Gardner,Chum,1989,0.035714434
Total exploitation rate,Douglas-Gardner,Chum,1990,0.309682644
Total exploitation rate,Douglas-Gardner,Chum,1991,0.260653624
Total exploitation rate,Douglas-Gardner,Chum,1992,0.292004296
Total exploitation rate,Douglas-Gardner,Chum,1993,0.082445267
Total exploitation rate,Douglas-Gardner,Chum,1994,0.235026903
Total exploitation rate,Douglas-Gardner,Chum,1995,0.076523752
Total exploitation rate,Douglas-Gardner,Chum,1996,0.157782052
Total exploitation rate,Douglas-Gardner,Chum,1997,0.097328766
Total exploitation rate,Douglas-Gardner,Chum,1998,0.365253811
Total exploitation rate,Douglas-Gardner,Chum,1999,0.230783837
Total exploitation rate,Douglas-Gardner,Chum,2000,0.178236824
Total exploitation rate,Douglas-Gardner,Chum,2001,0.335190848
Total exploitation rate,Douglas-Gardner,Chum,2002,0.371869702
Total exploitation rate,Douglas-Gardner,Chum,2003,0.54909383
Total exploitation rate,Douglas-Gardner,Chum,2004,0.443892779
Total exploitation rate,Douglas-Gardner,Chum,2005,0.714961096
Total exploitation rate,Douglas-Gardner,Chum,2006,0.199102288
Total exploitation rate,Douglas-Gardner,Chum,2007,0.190211504
Total exploitation rate,Douglas-Gardner,Chum,2008,0.09992869
Total exploitation rate,Douglas-Gardner,Chum,2009,0.250679689
Total exploitation rate,Douglas-Gardner,Chum,2010,0.037041017
Total exploitation rate,Douglas-Gardner,Chum,2011,0.065066536
Total exploitation rate,Douglas-Gardner,Chum,2012,0.045690114
Total exploitation rate,Douglas-Gardner,Chum,2013,0
Total exploitation rate,Douglas-Gardner,Chum,2014,0
Total exploitation rate,Douglas-Gardner,Chum,2015,0.180966159
Total exploitation rate,Douglas-Gardner,Chum,2016,0.100918783
Total exploitation rate,Douglas-Gardner,Chum,2017,0.289724862
Total exploitation rate,Hecate Lowlands,Chum,1954,0.468278144
Total exploitation rate,Hecate Lowlands,Chum,1955,0.381621429
Total exploitation rate,Hecate Lowlands,Chum,1956,0.515152504
Total exploitation rate,Hecate Lowlands,Chum,1957,0.512974373
Total exploitation rate,Hecate Lowlands,Chum,1958,0.440531893
Total exploitation rate,Hecate Lowlands,Chum,1959,0.374692563
Total exploitation rate,Hecate Lowlands,Chum,1960,0.383768975
Total exploitation rate,Hecate Lowlands,Chum,1961,0.43555896
Total exploitation rate,Hecate Lowlands,Chum,1962,0.357340587
Total exploitation rate,Hecate Lowlands,Chum,1963,0.351234954
Total exploitation rate,Hecate Lowlands,Chum,1964,0.38167163
Total exploitation rate,Hecate Lowlands,Chum,1965,0.395783188
Total exploitation rate,Hecate Lowlands,Chum,1966,0.353875502
Total exploitation rate,Hecate Lowlands,Chum,1967,0.372379036
Total exploitation rate,Hecate Lowlands,Chum,1968,0.393207789
Total exploitation rate,Hecate Lowlands,Chum,1969,0.382099386
Total exploitation rate,Hecate Lowlands,Chum,1970,0.468907538
Total exploitation rate,Hecate Lowlands,Chum,1971,0.392263365
Total exploitation rate,Hecate Lowlands,Chum,1972,0.456995298
Total exploitation rate,Hecate Lowlands,Chum,1973,0.399334131
Total exploitation rate,Hecate Lowlands,Chum,1974,0.439715511
Total exploitation rate,Hecate Lowlands,Chum,1975,0.320415314
Total exploitation rate,Hecate Lowlands,Chum,1976,0.293151797
Total exploitation rate,Hecate Lowlands,Chum,1977,0.419108226
Total exploitation rate,Hecate Lowlands,Chum,1978,0.417542433
Total exploitation rate,Hecate Lowlands,Chum,1979,0.413299942
Total exploitation rate,Hecate Lowlands,Chum,1980,0.503360277
Total exploitation rate,Hecate Lowlands,Chum,1981,0.451385009
Total exploitation rate,Hecate Lowlands,Chum,1982,0.366854128
Total exploitation rate,Hecate Lowlands,Chum,1983,0.439565576
Total exploitation rate,Hecate Lowlands,Chum,1984,0.408145978
Total exploitation rate,Hecate Lowlands,Chum,1985,0.403959782
Total exploitation rate,Hecate Lowlands,Chum,1986,0.461500174
Total exploitation rate,Hecate Lowlands,Chum,1987,0.416529432
Total exploitation rate,Hecate Lowlands,Chum,1988,0.43867319
Total exploitation rate,Hecate Lowlands,Chum,1989,0.332339871
Total exploitation rate,Hecate Lowlands,Chum,1990,0.413482975
Total exploitation rate,Hecate Lowlands,Chum,1991,0.43967924
Total exploitation rate,Hecate Lowlands,Chum,1992,0.446330616
Total exploitation rate,Hecate Lowlands,Chum,1993,0.404396534
Total exploitation rate,Hecate Lowlands,Chum,1994,0.376775927
Total exploitation rate,Hecate Lowlands,Chum,1995,0.338475684
Total exploitation rate,Hecate Lowlands,Chum,1996,0.305835107
Total exploitation rate,Hecate Lowlands,Chum,1997,0.200016657
Total exploitation rate,Hecate Lowlands,Chum,1998,0.222481822
Total exploitation rate,Hecate Lowlands,Chum,1999,0.248061738
Total exploitation rate,Hecate Lowlands,Chum,2000,0.219050559
Total exploitation rate,Hecate Lowlands,Chum,2001,0.261567164
Total exploitation rate,Hecate Lowlands,Chum,2002,0.271079171
Total exploitation rate,Hecate Lowlands,Chum,2003,0.299779803
Total exploitation rate,Hecate Lowlands,Chum,2004,0.300926439
Total exploitation rate,Hecate Lowlands,Chum,2005,0.270915395
Total exploitation rate,Hecate Lowlands,Chum,2006,0.160896744
Total exploitation rate,Hecate Lowlands,Chum,2007,0.163162317
Total exploitation rate,Hecate Lowlands,Chum,2008,0.11715328
Total exploitation rate,Hecate Lowlands,Chum,2009,0.141917699
Total exploitation rate,Hecate Lowlands,Chum,2010,0.098507976
Total exploitation rate,Hecate Lowlands,Chum,2011,0.177629944
Total exploitation rate,Hecate Lowlands,Chum,2012,0.16780732
Total exploitation rate,Hecate Lowlands,Chum,2013,0.155549012
Total exploitation rate,Hecate Lowlands,Chum,2014,0.177570466
